arxiv_id,title,published_date,published_year,cited_by_count,citation_status,total_rank,hot_rank,total_score,hot_score,final_score,age_days,matched_queries,abs_url
2504.16054,$π_{0.5}$: a Vision-Language-Action Model with Open-World Generalization,2025-04-22,2025,795,found,2,1,7.679599,5.579323,5.579323,426,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2504.16054
2503.14734,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,2025-03-18,2025,684,found,3,2,7.529419,5.32849,5.32849,461,"imitation-learning,manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2503.14734
2602.15922,World Action Models are Zero-shot Policies,2026-02-17,2026,108,found,36,3,5.691348,5.182031,5.182031,125,"vla-robot-broad,vla-va,world-models",https://arxiv.org/abs/2602.15922
2406.09246,OpenVLA: An Open-Source Vision-Language-Action Model,2024-06-13,2024,2943,found,1,4,8.987524,5.16336,5.16336,739,"imitation-learning,manipulation-benchmarks,vla-robot-broad,vla-va",https://arxiv.org/abs/2406.09246
2510.25445,"Agentic AI: A Comprehensive Survey of Architectures, Applications, and Future Directions",2025-10-29,2025,168,found,18,5,6.129899,5.135505,5.135505,236,manipulation-benchmarks,https://arxiv.org/abs/2510.25445
2511.04831,Isaac Lab: A GPU-Accelerated Simulation Framework for Multi-Modal Robot Learning,2025-11-06,2025,159,found,19,6,6.075174,5.120288,5.120288,228,"imitation-learning,manipulation-core,policy-optimization",https://arxiv.org/abs/2511.04831
2502.19645,Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,2025-02-27,2025,554,found,4,7,7.318968,5.102443,5.102443,481,"imitation-learning,policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2502.19645
2503.22020,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,2025-03-27,2025,459,found,5,8,7.131226,5.080874,5.080874,452,"manipulation-benchmarks,vla-robot-broad,vla-va",https://arxiv.org/abs/2503.22020
2506.01844,SmolVLA: A Vision-Language-Action Model for Affordable and Efficient Robotics,2025-06-02,2025,322,found,10,9,6.777652,5.077814,5.077814,385,"policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2506.01844
2601.16163,Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning,2026-01-22,2026,103,found,40,10,5.644391,5.040031,5.040031,151,"manipulation-benchmarks,manipulation-core,policy-optimization,vla-robot-broad,vla-va,world-models",https://arxiv.org/abs/2601.16163
2601.21998,Causal World Modeling for Robot Control,2026-01-29,2026,96,found,42,11,5.574711,5.004014,5.004014,144,"policy-optimization,world-models",https://arxiv.org/abs/2601.21998
2510.07077,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,2025-10-08,2025,149,found,21,12,6.010635,4.9569,4.9569,257,"vla-robot-broad,vla-va",https://arxiv.org/abs/2510.07077
2511.06202,ExpReS-VLA: Specializing Vision-Language-Action Models Through Experience Replay and Retrieval,2025-11-09,2025,125,found,27,13,5.836282,4.930024,4.930024,225,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2511.06202
2505.06111,UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,2025-05-09,2025,282,found,12,14,6.645447,4.889949,4.889949,409,"policy-learning,policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2505.06111
2510.13626,LIBERO-Plus: In-depth Robustness Analysis of Vision-Language-Action Models,2025-10-15,2025,120,found,30,15,5.795791,4.804879,4.804879,250,"manipulation-benchmarks,manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2510.13626
2510.10274,X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model,2025-10-11,2025,119,found,31,16,5.787492,4.783627,4.783627,254,"policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2510.10274
2501.15830,SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,2025-01-27,2025,391,found,6,17,6.971262,4.751908,4.751908,511,"manipulation-benchmarks,manipulation-core,policy-learning,policy-optimization",https://arxiv.org/abs/2501.15830
2512.13030,Motus: A Unified Latent Action World Model,2025-12-15,2025,85,found,48,18,5.454347,4.733491,4.733491,189,"vla-robot-broad,vla-va,world-models",https://arxiv.org/abs/2512.13030
2603.16666,Fast-WAM: Do World Action Models Need Test-time Future Imagination?,2026-03-17,2026,56,found,74,19,5.043051,4.689197,4.689197,97,"vla-va,world-models",https://arxiv.org/abs/2603.16666
2509.09674,SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,2025-09-11,2025,115,found,33,20,5.75359,4.649799,4.649799,284,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2509.09674
2508.19236,MemoryVLA: Perceptual-Cognitive Memory in Vision-Language-Action Models for Robotic Manipulation,2025-08-26,2025,118,found,32,21,5.779123,4.614724,4.614724,300,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2508.19236
2509.09372,VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,2025-09-11,2025,102,found,41,22,5.634729,4.553741,4.553741,284,"vla-robot-broad,vla-va",https://arxiv.org/abs/2509.09372
2507.04447,DreamVLA: A Vision-Language-Action Model Dreamed with Comprehensive World Knowledge,2025-07-06,2025,134,found,23,23,5.905275,4.538497,4.538497,351,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2507.04447
2510.10125,Ctrl-World: A Controllable Generative World Model for Robot Manipulation,2025-10-11,2025,85,found,49,24,5.454347,4.508268,4.508268,254,"manipulation-core,world-models",https://arxiv.org/abs/2510.10125
2411.19650,CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,2024-11-29,2024,358,found,8,25,6.883322,4.488872,4.488872,570,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2411.19650
2507.16815,ThinkAct: Vision-Language-Action Reasoning via Reinforced Visual Latent Planning,2025-07-22,2025,115,found,34,26,5.75359,4.475303,4.475303,335,"manipulation-benchmarks,manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2507.16815
2505.18719,VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning,2025-05-24,2025,148,found,22,27,6.003946,4.467893,4.467893,394,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2505.18719
2601.20540,Advancing Open-source World Models,2026-01-28,2026,50,found,83,28,4.931826,4.423624,4.423624,145,"policy-optimization,world-models",https://arxiv.org/abs/2601.20540
2503.10631,HybridVLA: Collaborative Diffusion and Autoregression in a Unified Vision-Language-Action Model,2025-03-13,2025,184,found,15,29,6.220356,4.385603,4.385603,466,"policy-learning,vla-robot-broad,vla-va",https://arxiv.org/abs/2503.10631
2511.07820,SONIC: Supersizing Motion Tracking for Natural Humanoid Whole-Body Control,2025-11-11,2025,63,found,68,30,5.158883,4.364354,4.364354,223,"vla-robot-broad,vla-va",https://arxiv.org/abs/2511.07820
2602.06949,DreamDojo: A Generalist Robot World Model from Large-Scale Human Videos,2026-02-06,2026,44,found,89,31,4.806662,4.340558,4.340558,136,world-models,https://arxiv.org/abs/2602.06949
2502.19417,Hi Robot: Open-Ended Instruction Following with Hierarchical Vision-Language-Action Models,2025-02-26,2025,182,found,16,32,6.209486,4.328964,4.328964,481,"manipulation-benchmarks,vla-robot-broad,vla-va",https://arxiv.org/abs/2502.19417
2506.19850,Unified Vision-Language-Action Model,2025-06-24,2025,106,found,39,33,5.672829,4.320788,4.320788,363,"manipulation-core,policy-optimization,vla-robot-broad,vla-va,world-models",https://arxiv.org/abs/2506.19850
2502.05855,DexVLA: Vision-Language Model with Plug-In Diffusion Expert for General Robot Control,2025-02-09,2025,185,found,14,34,6.225747,4.285312,4.285312,498,"manipulation-hardware,policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2502.05855
2505.03233,GraspVLA: a Grasping Foundation Model Pre-trained on Billion-scale Synthetic Action Data,2025-05-06,2025,125,found,28,35,5.836282,4.284886,4.284886,412,"manipulation-core,policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2505.03233
2412.10345,TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,2024-12-13,2024,241,found,13,36,6.488938,4.276346,4.276346,556,"manipulation-benchmarks,manipulation-core,policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2412.10345
2510.03342,"Gemini Robotics 1.5: Pushing the Frontier of Generalist Robots with Advanced Embodied Reasoning, Thinking, and Motion Transfer",2025-10-02,2025,66,found,64,37,5.204693,4.272976,4.272976,263,"vla-robot-broad,vla-va",https://arxiv.org/abs/2510.03342
2508.13073,Large VLM-based Vision-Language-Action Models for Robotic Manipulation: A Survey,2025-08-18,2025,77,found,55,38,5.356709,4.251831,4.251831,308,"manipulation-core,vla-robot-broad,vla-va,world-models",https://arxiv.org/abs/2508.13073
2507.12440,EgoVLA: Learning Vision-Language-Action Models from Egocentric Human Videos,2025-07-16,2025,88,found,44,39,5.488636,4.250046,4.250046,341,"imitation-learning,manipulation-benchmarks,manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2507.12440
2603.17240,GigaWorld-Policy: An Efficient Action-Centered World--Action Model,2026-03-18,2026,34,found,111,40,4.555348,4.235714,4.235714,97,"policy-learning,policy-optimization,world-models",https://arxiv.org/abs/2603.17240
2510.12276,Spatial Forcing: Implicit Spatial Representation Alignment for Vision-language-action Model,2025-10-14,2025,59,found,72,41,5.094345,4.220194,4.220194,251,"vla-robot-broad,vla-va",https://arxiv.org/abs/2510.12276
2511.02832,"TWIST2: Scalable, Portable, and Holistic Humanoid Data Collection System",2025-11-04,2025,54,found,78,42,5.007333,4.213963,4.213963,230,"manipulation-core,policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2511.02832
2410.11758,Latent Action Pretraining from Videos,2024-10-15,2024,289,found,11,43,6.669881,4.205327,4.205327,615,"manipulation-core,policy-learning,vla-robot-broad,vla-va",https://arxiv.org/abs/2410.11758
2507.15493,GR-3 Technical Report,2025-07-21,2025,78,found,54,44,5.369448,4.173375,4.173375,336,"imitation-learning,vla-robot-broad,vla-va",https://arxiv.org/abs/2507.15493
2601.18692,A Pragmatic VLA Foundation Model,2026-01-26,2026,37,found,105,45,4.637586,4.153469,4.153469,147,"manipulation-core,policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2601.18692
2509.04996,FLOWER: Democratizing Generalist Robot Policies with Efficient Vision-Language-Action Flow Policies,2025-09-05,2025,63,found,69,46,5.158883,4.150464,4.150464,290,"vla-robot-broad,vla-va",https://arxiv.org/abs/2509.04996
2602.22818,LeRobot: An Open-Source Library for End-to-End Robot Learning,2026-02-26,2026,33,found,116,47,4.526361,4.149211,4.149211,116,policy-optimization,https://arxiv.org/abs/2602.22818
2507.15597,Being-H0: Vision-Language-Action Pretraining from Large-Scale Human Videos,2025-07-21,2025,75,found,56,48,5.330733,4.143284,4.143284,336,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2507.15597
2512.15692,mimic-video: Video-Action Models for Generalizable Robot Control Beyond VLAs,2025-12-17,2025,41,found,96,49,4.73767,4.117703,4.117703,187,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2512.15692
2509.00576,Galaxea Open-World Dataset and G0 Dual-System VLA Model,2025-08-30,2025,61,found,71,50,5.127134,4.106401,4.106401,296,"manipulation-core,vla-robot-broad,vla-va",https://arxiv.org/abs/2509.00576
2507.23682,villa-X: Enhancing Latent Action Modeling in Vision-Language-Action Models,2025-07-31,2025,68,found,60,51,5.234107,4.098808,4.098808,326,"manipulation-core,manipulation-hardware,manipulation-skills,policy-learning,vla-robot-broad,vla-va",https://arxiv.org/abs/2507.23682
2603.14482,V-JEPA 2.1: Unlocking Dense Features in Video Self-Supervised Learning,2026-03-15,2026,29,found,135,52,4.401197,4.086246,4.086246,99,"manipulation-core,world-models",https://arxiv.org/abs/2603.14482
2412.13877,RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation,2024-12-18,2024,175,found,17,53,6.170484,4.081756,4.081756,551,"imitation-learning,manipulation-core,manipulation-hardware,policy-optimization,vla-robot-broad,vla-va",https://arxiv.org/abs/2412.13877
2602.10098,VLA-JEPA: Enhancing Vision-Language-Action Model with Latent World Model,2026-02-10,2026,32,found,119,54,4.496508,4.072679,4.072679,132,"vla-robot-broad,vla-va,world-models",https://arxiv.org/abs/2602.10098
