rank,arxiv_id,title,published_date,cited_by_count,total_score,abs_url
1,2406.09246,OpenVLA: An Open-Source Vision-Language-Action Model,2024-06-13,2943,8.987524,https://arxiv.org/abs/2406.09246
2,2504.16054,$π_{0.5}$: a Vision-Language-Action Model with Open-World Generalization,2025-04-22,795,7.679599,https://arxiv.org/abs/2504.16054
3,2503.14734,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,2025-03-18,684,7.529419,https://arxiv.org/abs/2503.14734
4,2502.19645,Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,2025-02-27,554,7.318968,https://arxiv.org/abs/2502.19645
5,2503.22020,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,2025-03-27,459,7.131226,https://arxiv.org/abs/2503.22020
6,2501.15830,SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,2025-01-27,391,6.971262,https://arxiv.org/abs/2501.15830
7,2403.09631,3D-VLA: A 3D Vision-Language-Action Generative World Model,2024-03-14,369,6.913503,https://arxiv.org/abs/2403.09631
8,2411.19650,CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,2024-11-29,358,6.883322,https://arxiv.org/abs/2411.19650
9,2407.08693,Robotic Control via Embodied Chain-of-Thought Reasoning,2024-07-11,353,6.869297,https://arxiv.org/abs/2407.08693
10,2506.01844,SmolVLA: A Vision-Language-Action Model for Affordable and Efficient Robotics,2025-06-02,322,6.777652,https://arxiv.org/abs/2506.01844
11,2410.11758,Latent Action Pretraining from Videos,2024-10-15,289,6.669881,https://arxiv.org/abs/2410.11758
12,2505.06111,UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,2025-05-09,282,6.645447,https://arxiv.org/abs/2505.06111
13,2412.10345,TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,2024-12-13,241,6.488938,https://arxiv.org/abs/2412.10345
14,2502.05855,DexVLA: Vision-Language Model with Plug-In Diffusion Expert for General Robot Control,2025-02-09,185,6.225747,https://arxiv.org/abs/2502.05855
15,2503.10631,HybridVLA: Collaborative Diffusion and Autoregression in a Unified Vision-Language-Action Model,2025-03-13,184,6.220356,https://arxiv.org/abs/2503.10631
16,2502.19417,Hi Robot: Open-Ended Instruction Following with Hierarchical Vision-Language-Action Models,2025-02-26,182,6.209486,https://arxiv.org/abs/2502.19417
17,2412.13877,RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation,2024-12-18,175,6.170484,https://arxiv.org/abs/2412.13877
18,2510.25445,"Agentic AI: A Comprehensive Survey of Architectures, Applications, and Future Directions",2025-10-29,168,6.129899,https://arxiv.org/abs/2510.25445
19,2511.04831,Isaac Lab: A GPU-Accelerated Simulation Framework for Multi-Modal Robot Learning,2025-11-06,159,6.075174,https://arxiv.org/abs/2511.04831
20,2412.04453,NaVILA: Legged Robot Vision-Language-Action Model for Navigation,2024-12-05,150,6.01728,https://arxiv.org/abs/2412.04453
21,2510.07077,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,2025-10-08,149,6.010635,https://arxiv.org/abs/2510.07077
22,2505.18719,VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning,2025-05-24,148,6.003946,https://arxiv.org/abs/2505.18719
23,2507.04447,DreamVLA: A Vision-Language-Action Model Dreamed with Comprehensive World Knowledge,2025-07-06,134,5.905275,https://arxiv.org/abs/2507.04447
24,2502.05485,HAMSTER: Hierarchical Action Models For Open-World Robot Manipulation,2025-02-08,126,5.844187,https://arxiv.org/abs/2502.05485
25,2502.05450,ConRFT: A Reinforced Fine-tuning Method for VLA Models via Consistency Policy,2025-02-08,126,5.844187,https://arxiv.org/abs/2502.05450
26,2412.18194,VLABench: A Large-Scale Benchmark for Language-Conditioned Robotics Manipulation with Long-Horizon Reasoning Tasks,2024-12-24,126,5.844187,https://arxiv.org/abs/2412.18194
27,2511.06202,ExpReS-VLA: Specializing Vision-Language-Action Models Through Experience Replay and Retrieval,2025-11-09,125,5.836282,https://arxiv.org/abs/2511.06202
28,2505.03233,GraspVLA: a Grasping Foundation Model Pre-trained on Billion-scale Synthetic Action Data,2025-05-06,125,5.836282,https://arxiv.org/abs/2505.03233
29,2501.16664,Improving Vision-Language-Action Model with Online Reinforcement Learning,2025-01-28,121,5.804021,https://arxiv.org/abs/2501.16664
30,2510.13626,LIBERO-Plus: In-depth Robustness Analysis of Vision-Language-Action Models,2025-10-15,120,5.795791,https://arxiv.org/abs/2510.13626
31,2510.10274,X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model,2025-10-11,119,5.787492,https://arxiv.org/abs/2510.10274
32,2508.19236,MemoryVLA: Perceptual-Cognitive Memory in Vision-Language-Action Models for Robotic Manipulation,2025-08-26,118,5.779123,https://arxiv.org/abs/2508.19236
33,2509.09674,SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,2025-09-11,115,5.75359,https://arxiv.org/abs/2509.09674
34,2507.16815,ThinkAct: Vision-Language-Action Reasoning via Reinforced Visual Latent Planning,2025-07-22,115,5.75359,https://arxiv.org/abs/2507.16815
35,2503.20384,MoLe-VLA: Dynamic Layer-skipping Vision Language Action Model via Mixture-of-Layers for Efficient Robot Manipulation,2025-03-26,110,5.70953,https://arxiv.org/abs/2503.20384
36,2602.15922,World Action Models are Zero-shot Policies,2026-02-17,108,5.691348,https://arxiv.org/abs/2602.15922
37,2503.07511,PointVLA: Injecting the 3D World into Vision-Language-Action Models,2025-03-10,107,5.682131,https://arxiv.org/abs/2503.07511
38,2502.20900,DexGraspVLA: A Vision-Language-Action Framework Towards General Dexterous Grasping,2025-02-28,107,5.682131,https://arxiv.org/abs/2502.20900
39,2506.19850,Unified Vision-Language-Action Model,2025-06-24,106,5.672829,https://arxiv.org/abs/2506.19850
40,2601.16163,Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning,2026-01-22,103,5.644391,https://arxiv.org/abs/2601.16163
41,2509.09372,VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,2025-09-11,102,5.634729,https://arxiv.org/abs/2509.09372
42,2601.21998,Causal World Modeling for Robot Control,2026-01-29,96,5.574711,https://arxiv.org/abs/2601.21998
43,2411.19309,GRAPE: Generalizing Robot Policy via Preference Alignment,2024-11-28,95,5.564348,https://arxiv.org/abs/2411.19309
44,2507.12440,EgoVLA: Learning Vision-Language-Action Models from Egocentric Human Videos,2025-07-16,88,5.488636,https://arxiv.org/abs/2507.12440
45,2505.11917,OneTwoVLA: A Unified Vision-Language-Action Model with Adaptive Reasoning,2025-05-17,87,5.477337,https://arxiv.org/abs/2505.11917
46,2501.03841,OmniManip: Towards General Robotic Manipulation via Object-Centric Interaction Primitives as Spatial Constraints,2025-01-07,86,5.465908,https://arxiv.org/abs/2501.03841
47,2410.05273,HiRT: Enhancing Robotic Control with Hierarchical Robot Transformers,2024-09-12,86,5.465908,https://arxiv.org/abs/2410.05273
48,2512.13030,Motus: A Unified Latent Action World Model,2025-12-15,85,5.454347,https://arxiv.org/abs/2512.13030
49,2510.10125,Ctrl-World: A Controllable Generative World Model for Robot Manipulation,2025-10-11,85,5.454347,https://arxiv.org/abs/2510.10125
50,2505.03912,"OpenHelix: A Short Survey, Empirical Analysis, and Open-Source Dual-System VLA Model for Robotic Manipulation",2025-05-06,84,5.442651,https://arxiv.org/abs/2505.03912
